"","District","cluster_num","cluster_cat"
"1","BAGALKOT",1,"Tier 2"
"2","BANGALORE RURAL",1,"Tier 2"
"3","BELGAUM",2,"Tier 3"
"4","BELLARY",2,"Tier 3"
"5","BIDAR",2,"Tier 3"
"6","BIJAPUR",2,"Tier 3"
"7","CHAMRAJNAGAR",1,"Tier 2"
"8","CHIKMAGALUR",1,"Tier 2"
"9","CHITRADURGA",2,"Tier 3"
"10","DAKSHIN KANNAD",3,"Tier 1"
"11","DAVANGERE",2,"Tier 3"
"12","DHARWAD",2,"Tier 3"
"13","GADAG",2,"Tier 3"
"14","GULBARGA",2,"Tier 3"
"15","HASSAN",3,"Tier 1"
"16","HAVERI",2,"Tier 3"
"17","KODAGU",1,"Tier 2"
"18","KOLAR",2,"Tier 3"
"19","KOPPAL",2,"Tier 3"
"20","MANDYA",1,"Tier 2"
"21","MYSORE",2,"Tier 3"
"22","RAICHUR",2,"Tier 3"
"23","SHIMOGA",1,"Tier 2"
"24","TUMKUR",1,"Tier 2"
"25","UDUPI",3,"Tier 1"
"26","UTTAR KANNAD",3,"Tier 1"
